localizacion,poblacion,year,densidad,porcentaje,variacionAnualPoblacion,variacionAnualDensidad
Horta-Guinardó,166950,2014,13912,10.42,-0.47,-0.47
Nou Barris,164516,2014,20564,10.27,-0.74,-0.74
Sant Andreu,145983,2014,21468,9.11,-0.59,-0.59
Sant Martí,232629,2014,21539,14.52,-0.08,-0.08
Barcelona,1602386,2014,15802,100,-0.59,-0.59
Ciutat Vella,100115,2015,22247,6.24,-0.57,-0.57
Eixample,263558,2015,35141,16.43,0.00,0.00
Sants-Montjuïc,180757,2015,8407,11.27,-0.04,-0.04
Les Corts,81530,2015,13588,5.08,0.41,0.41
Sarrià-Sant Gervasi,146834,2015,7305,9.15,0.74,0.74
Gràcia,120401,2015,28666,7.5,0.11,0.10
Horta-Guinardó,166559,2015,13879,10.38,-0.23,-0.24
Nou Barris,164648,2015,20581,10.26,0.08,0.08
Sant Andreu,146494,2015,21543,9.13,0.35,0.35
Sant Martí,233659,2015,21635,14.56,0.44,0.45
Barcelona,1604555,2015,15824,100,0.14,0.14
Ciutat Vella,100070,2016,22237,6.22,-0.04,-0.04
Eixample,264305,2016,35240,16.43,0.28,0.28
Sants-Montjuïc,180977,2016,8417,11.25,0.12,0.12
Les Corts,81642,2016,13607,5.07,0.14,0.14
Sarrià-Sant Gervasi,148026,2016,7364,9.2,0.81,0.81
Gràcia,120918,2016,28790,7.52,0.43,0.43
Horta-Guinardó,167268,2016,13939,10.4,0.43,0.43
Nou Barris,164881,2016,20610,10.25,0.14,0.14
Sant Andreu,146731,2016,21578,9.12,0.16,0.16
Sant Martí,233928,2016,21660,14.54,0.12,0.12
Barcelona,1608746,2016,15865,100,0.26,0.26
