localizacion,rango,year,poblacion,porcentaje,variacionAnual
Gràcia,de 20-39,2014,36414,30.28,-2.597298382
Gràcia,de 40-59,2014,32615,27.12,0.465130606
Gràcia,de 60-79,2014,23500,19.54,-0.305447141
Gràcia,más de 80,2014,9481,7.88,1.033674339
Horta-Guinardó,de 0 a 20,2014,27111,16.24,0.347929082
Horta-Guinardó,de 20-39,2014,43256,25.91,-3.351505943
Horta-Guinardó,de 40-59,2014,47171,28.25,1.006402432
Horta-Guinardó,de 60-79,2014,36107,21.63,-0.837635944
Horta-Guinardó,más de 80,2014,13305,7.97,3.484483161
Nou Barris,de 0 a 20,2014,28251,17.17,0.077934039
Nou Barris,de 20-39,2014,43014,26.15,-4.095783818
Nou Barris,de 40-59,2014,45381,27.58,1.287831444
Nou Barris,de 60-79,2014,34808,21.16,-1.59726345
Nou Barris,más de 80,2014,13062,7.94,4.57129133
Sant Andreu,de 0 a 20,2014,25271,17.31,0.305628324
Sant Andreu,de 20-39,2014,38999,26.71,-4.393125935
Sant Andreu,de 40-59,2014,41923,28.72,0.636132316
Sant Andreu,de 60-79,2014,29712,20.35,0.810911682
Sant Andreu,más de 80,2014,10078,6.9,3.576567318
Sant Martí,de 0 a 20,2014,40601,17.45,1.203948352
Sant Martí,de 20-39,2014,63975,27.5,-3.309907051
Sant Martí,de 40-59,2014,68244,29.34,1.401167888
Sant Martí,de 60-79,2014,43917,18.88,-0.036419093
Sant Martí,más de 80,2014,15892,6.83,3.808217388
Barcelona,de 0 a 20,2014,263755,16.46,0.356520482
Barcelona,de 20-39,2014,455045,28.4,-3.189330179
Barcelona,de 40-59,2014,449946,28.08,0.706597521
Barcelona,de 60-79,2014,313488,19.56,-0.347129506
Barcelona,más de 80,2014,120152,7.5,2.170936828
Ciutat Vella,de 0 a 20,2013,14497,14.03,-1.501562712
Ciutat Vella,de 20-39,2013,42137,40.78,-1.872336462
Ciutat Vella,de 40-59,2013,27436,26.55,1.426987061
Ciutat Vella,de 60-79,2013,13585,13.15,-2.936553301
Ciutat Vella,más de 80,2013,5684,5.5,-0.923827785
Eixample,de 0 a 20,2013,37992,14.35,-0.59394542
Eixample,de 20-39,2013,80137,30.27,-0.92354483
Eixample,de 40-59,2013,72794,27.49,-0.137185502
Eixample,de 60-79,2013,51453,19.43,-0.126169494
Eixample,más de 80,2013,22404,8.46,0.407833998
Sants-Montjuïc,de 0 a 20,2013,28392,15.54,-1.04558762
Sants-Montjuïc,de 20-39,2013,56277,30.81,-2.985743592
Sants-Montjuïc,de 40-59,2013,52051,28.49,0.858394047
Sants-Montjuïc,de 60-79,2013,33632,18.41,-0.175120952
Sants-Montjuïc,más de 80,2013,12333,6.75,2.162027833
Les Corts,de 0 a 20,2013,13175,16.14,-0.280048441
Les Corts,de 20-39,2013,21522,26.36,-4.035314576
