localizacion,personas,nacionalidad,year,variacionAnual,población,porcentaje,
Gràcia,117,Pakistán,2006,,121245,0.10,
Horta-Guinardó,299,Pakistán,2006,,169774,0.18,
Nou Barris,1039,Pakistán,2006,,165156,0.63,
Sant Andreu,956,Pakistán,2006,,143540,0.67,
Sant Martí,2206,Pakistán,2006,,222914,0.99,
Ciutat Vella,1066,China,2006,,113154,0.94,
Eixample,3654,China,2006,,265561,1.38,
Sants-Montjuïc,1837,China,2006,,180044,1.02,
Les Corts,289,China,2006,,82745,0.35,
Sarrià-Sant Gervasi,443,China,2006,,141469,0.31,
Gràcia,539,China,2006,,121245,0.44,
Horta-Guinardó,513,China,2006,,169774,0.30,
Nou Barris,849,China,2006,,165156,0.51,
Sant Andreu,1020,China,2006,,143540,0.71,
Sant Martí,2183,China,2006,,222914,0.98,
Ciutat Vella,4086,Filipinas,2006,,113154,3.61,
Eixample,897,Filipinas,2006,,265561,0.34,
Sants-Montjuïc,1035,Filipinas,2006,,180044,0.57,
Les Corts,55,Filipinas,2006,,82745,0.07,
Sarrià-Sant Gervasi,268,Filipinas,2006,,141469,0.19,
Gràcia,78,Filipinas,2006,,121245,0.06,
Horta-Guinardó,52,Filipinas,2006,,169774,0.03,
Nou Barris,55,Filipinas,2006,,165156,0.03,
Sant Andreu,57,Filipinas,2006,,143540,0.04,
Sant Martí,90,Filipinas,2006,,222914,0.04,
Ciutat Vella,866,Rumanía,2006,,113154,0.77,
Eixample,635,Rumanía,2006,,265561,0.24,
Sants-Montjuïc,709,Rumanía,2006,,180044,0.39,
Les Corts,208,Rumanía,2006,,82745,0.25,
Sarrià-Sant Gervasi,172,Rumanía,2006,,141469,0.12,
Gràcia,320,Rumanía,2006,,121245,0.26,
Horta-Guinardó,583,Rumanía,2006,,169774,0.34,
Nou Barris,690,Rumanía,2006,,165156,0.42,
Sant Andreu,405,Rumanía,2006,,143540,0.28,
Sant Martí,711,Rumanía,2006,,222914,0.32,
Barcelona,1342637,España,2016,-0.307918716,1608746,83.46,
Barcelona,26993,Italia,2016,7.140589029,1608746,1.68,
Barcelona,13671,francia,2016,7.105922908,1608746,0.85,
Barcelona,6980,Reino Unido,2016,6.386221613,1608746,0.43,
Barcelona,12552,Marruecos,2016,-2.059925094,1608746,0.78,
Barcelona,9280,Bolivia,2016,-4.003310231,1608746,0.58,
Barcelona,8108,Ecuador,2016,-1.134008048,1608746,0.50,
Barcelona,7955,Perú,2016,-2.056143807,1608746,0.49,
Barcelona,7930,Colombia,2016,0.214836345,1608746,0.49,
Barcelona,19192,Pakistán,2016,-3.212466589,1608746,1.19,
Barcelona,18448,China,2016,1.318101933,1608746,1.15,
Barcelona,8682,Filipinas,2016,0.497742794,1608746,0.54,
Barcelona,7029,Rumanía,2016,3.185554903,1604555,0.44,
Barcelona,1346784,España,2015,0.12631172,1604555,83.94,
Barcelona,25194,Italia,2015,-3.215397027,1604555,1.57,
Barcelona,12764,francia,2015,-5.738128646,1604555,0.80,
Barcelona,6561,Reino Unido,2015,-5.501944404,1604555,0.41,
Barcelona,12816,Marruecos,2015,-1.004171173,1604555,0.80,
Barcelona,9667,Bolivia,2015,-8.689902711,1604555,0.60,
Barcelona,8201,Ecuador,2015,-11.10990679,1604555,0.51,
Barcelona,8122,Perú,2015,-8.843995511,1604555,0.51,
Barcelona,7913,Colombia,2015,-4.616682739,1604555,0.49,
Barcelona,19829,Pakistán,2015,-4.525976215,1604555,1.24,
Barcelona,18208,China,2015,4.987603068,1604555,1.13,
Barcelona,8639,Filipinas,2015,-0.115620303,1604555,0.54,
Barcelona,6812,Rumanía,2015,-8.292945611,1604555,0.42,
Barcelona,1345085,España,2014,1.220514333,1602386,83.94,
Barcelona,26031,Italia,2014,4.203194428,1602386,1.62,
Barcelona,13541,francia,2014,3.287566743,1602386,0.85,
Barcelona,6943,Reino Unido,2014,5.677321157,1602386,0.43,
Barcelona,12946,Marruecos,2014,-3.925788497,1602386,0.81,
Barcelona,10587,Bolivia,2014,-21.14553851,1602386,0.66,
Barcelona,9226,Ecuador,2014,-29.68523741,1602386,0.58,
Barcelona,8910,Perú,2014,-27.03897805,1602386,0.56,
Barcelona,8296,Colombia,2014,-26.17246596,1602386,0.52,
Barcelona,20769,Pakistán,2014,-6.907216495,1602386,1.30,
Barcelona,17343,China,2014,2.925816024,1602386,1.08,
Barcelona,8649,Filipinas,2014,-3.696693019,1602386,0.54,
Barcelona,7428,Rumanía,2014,1.711625359,1602386,0.46,
Barcelona,1328866,España,2013,-0.313866697,1611822,82.44,
Barcelona,24981,Italia,2013,5.48072457,1611822,1.55,
Barcelona,13110,francia,2013,6.119475474,1611822,0.81,
Barcelona,6570,Reino Unido,2013,9.463512163,1611822,0.41,
Barcelona,13475,Marruecos,2013,-1.706907871,1611822,0.84,
Barcelona,13426,Bolivia,2013,-4.678736244,1611822,0.83,
Barcelona,13121,Ecuador,2013,-9.963631373,1611822,0.81,
Barcelona,12212,Perú,2013,-7.986738999,1611822,0.76,
Barcelona,11237,Colombia,2013,-6.83193765,1611822,0.70,
Barcelona,22310,Pakistán,2013,-7.296601014,1611822,1.38,
Barcelona,16850,China,2013,2.863073072,1611822,1.05,
Barcelona,8981,Filipinas,2013,2.511128867,1611822,0.56,
Barcelona,7303,Rumanía,2013,3.354090008,1611822,0.45,
Barcelona,1333050,España,2012,-0.23984943,1620943,82.24,
Barcelona,23683,Italia,2012,6.182747489,1620943,1.46,
Barcelona,12354,francia,2012,7.174459964,1620943,0.76,
Barcelona,6002,Reino Unido,2012,9.326047359,1620943,0.37,
Barcelona,13709,Marruecos,2012,0.927630126,1620943,0.85,
Barcelona,14085,Bolivia,2012,-4.385309891,1620943,0.87,
Barcelona,14573,Ecuador,2012,-9.624806202,1620943,0.90,
Barcelona,13272,Perú,2012,-2.961175696,1620943,0.82,
Barcelona,12061,Colombia,2012,-1.454367187,1620943,0.74,
Barcelona,24066,Pakistán,2012,4.204373241,1620943,1.48,
Barcelona,16381,China,2012,3.788886777,1620943,1.01,
Barcelona,8761,Filipinas,2012,7.011115183,1620943,0.54,
Barcelona,7066,Rumanía,2012,5.415485603,1620943,0.44,
Barcelona,1336255,España,2011,0.079763929,1615448,82.72,
Barcelona,22304,Italia,2011,-6.930940956,1615448,1.38,
Barcelona,11527,francia,2011,-16.03292541,1615448,0.71,
Barcelona,5490,Reino Unido,2011,-13.36594603,1615448,0.34,
Barcelona,13583,Marruecos,2011,-5.863192182,1615448,0.84,
Barcelona,14731,Bolivia,2011,-7.018872688,1615448,0.91,
Barcelona,16125,Ecuador,2011,-18.31720784,1615448,1.00,
Barcelona,13677,Perú,2011,-7.224257224,1615448,0.85,
Barcelona,12239,Colombia,2011,-6.034548944,1615448,0.76,
Barcelona,23095,Pakistán,2011,8.041729042,1615448,1.43,
Barcelona,15783,China,2011,2.975141906,1615448,0.98,
Barcelona,8187,Filipinas,2011,1.714498695,1615448,0.51,
Barcelona,6703,Rumanía,2011,-2.430858806,1615448,0.41,
Barcelona,1335190,España,2010,-0.149268688,1619337,82.45,
Barcelona,23965,Italia,2010,0.735603195,1619337,1.48,
Barcelona,13728,francia,2010,-1.294219154,1619337,0.85,
Barcelona,6337,Reino Unido,2010,-2.672400553,1619337,0.39,
Barcelona,14429,Marruecos,2010,-1.923599782,1619337,0.89,
Barcelona,15843,Bolivia,2010,-7.809135874,1619337,0.98,
Barcelona,19741,Ecuador,2010,-9.730668983,1619337,1.22,
Barcelona,14742,Perú,2010,-5.354391371,1619337,0.91,
Barcelona,13025,Colombia,2010,-3.066160601,1619337,0.80,
Barcelona,21376,Pakistán,2010,10.52740434,1619337,1.32,
Barcelona,15327,China,2010,1.268582755,1619337,0.95,
Barcelona,8049,Filipinas,2010,2.456720978,1619337,0.50,
Barcelona,6870,Rumanía,2010,-2.511707109,1619337,0.42,
Barcelona,1337186,España,2009,0.035534981,1621537,82.46,
Barcelona,23790,Italia,2009,9.85915493,1621537,1.47,
Barcelona,13908,francia,2009,8.040083897,1621537,0.86,
Barcelona,6511,Reino Unido,2009,6.737704918,1621537,0.40,
Barcelona,14712,Marruecos,2009,1.413110912,1621537,0.91,
Barcelona,17185,Bolivia,2009,-7.988434973,1621537,1.06,
Barcelona,21869,Ecuador,2009,-5.992348364,1621537,1.35,
Barcelona,15576,Perú,2009,0.360824742,1621537,0.96,
Barcelona,13437,Colombia,2009,0.052122115,1621537,0.83,
Barcelona,19340,Pakistán,2009,13.17221605,1621537,1.19,
Barcelona,15135,China,2009,8.947595739,1621537,0.93,
Barcelona,7856,Filipinas,2009,5.876010782,1621537,0.48,
Barcelona,7047,Rumanía,2009,5.352070564,1621537,0.43,
Barcelona,1336711,España,2008,-0.498508272,1615908,82.72,
Barcelona,21655,Italia,2008,14.20208839,1615908,1.34,
Barcelona,12873,francia,2008,12.45741242,1615908,0.80,
Barcelona,6100,Reino Unido,2008,8.656929106,1615908,0.38,
Barcelona,14507,Marruecos,2008,8.960492714,1615908,0.90,
Barcelona,18677,Bolivia,2008,0.446380553,1615908,1.16,
Barcelona,23263,Ecuador,2008,-2.223436449,1615908,1.44,
Barcelona,15520,Perú,2008,7.628294036,1615908,0.96,
Barcelona,13430,Colombia,2008,10.48042119,1615908,0.83,
Barcelona,17089,Pakistán,2008,25.71912014,1615908,1.06,
Barcelona,13892,China,2008,21.82758923,1615908,0.86,
Barcelona,7420,Filipinas,2008,16.72172408,1615908,0.46,
Barcelona,6689,Rumanía,2008,15.7266436,1615908,0.41,
Barcelona,1343408,España,2007,-1.215787144,1595110,84.22,
Barcelona,18962,Italia,2007,18.06238715,1595110,1.19,
Barcelona,11447,francia,2007,16.69894994,1595110,0.72,
Barcelona,5614,Reino Unido,2007,11.19033472,1595110,0.35,
Barcelona,13314,Marruecos,2007,-14.87212276,1595110,0.83,
Barcelona,18594,Bolivia,2007,29.05330372,1595110,1.17,
Barcelona,23792,Ecuador,2007,-19.42290107,1595110,1.49,
Barcelona,14420,Perú,2007,-8.199643494,1595110,0.90,
Barcelona,12156,Colombia,2007,-14.44256757,1595110,0.76,
Barcelona,13593,Pakistán,2007,-7.637426106,1595110,0.85,
Barcelona,11403,China,2007,-7.988380537,1595110,0.71,
Barcelona,6357,Filipinas,2007,-4.735501274,1595110,0.40,
Barcelona,5780,Rumanía,2007,9.077184374,1595110,0.36,
Barcelona,1359942,España,2006,,1605602,84.70,
Barcelona,16061,Italia,2006,,1605602,1.00,
Barcelona,9809,francia,2006,,1605602,0.61,
Barcelona,5049,Reino Unido,2006,,1605602,0.31,
Barcelona,15640,Marruecos,2006,,1605602,0.97,
Barcelona,14408,Bolivia,2006,,1605602,0.90,
Barcelona,29527,Ecuador,2006,,1605602,1.84,
Barcelona,15708,Perú,2006,,1605602,0.98,
Barcelona,14208,Colombia,2006,,1605602,0.88,
Barcelona,14717,Pakistán,2006,,1605602,0.92,
Barcelona,12393,China,2006,,1605602,0.77,
Barcelona,6673,Filipinas,2006,,1605602,0.42,
Barcelona,5299,Rumanía,2006,,1605602,0.33,
