fecha,tipoPasajero,pasajerosAeropuerto,VAaeropuerto,porcentajeAeropuerto
11/2006,Nacional,1198676,,
10/2006,Nacional,1274853,,
09/2006,Nacional,1253783,,
08/2006,Nacional,1276225,,
07/2006,Nacional,1259571,,
06/2006,Nacional,1314813,,
05/2006,Nacional,1302706,,
04/2006,Nacional,1194398,,
03/2006,Nacional,1221031,,
02/2006,Nacional,1024135,,
01/2006,Nacional,945904,,
12/2016,Internacional,2152326,17.87,6.66
11/2016,Internacional,2120977,7.79,6.56
10/2016,Internacional,3005021,11.87,9.30
09/2016,Internacional,3262999,9.61,10.09
08/2016,Internacional,3585393,6.94,11.09
07/2016,Internacional,3523370,10.42,10.90
06/2016,Internacional,3097858,8.48,9.58
05/2016,Internacional,2981604,11.64,9.22
04/2016,Internacional,2622087,7.59,8.11
03/2016,Internacional,2327643,13.58,7.20
02/2016,Internacional,1870951,21.99,5.79
01/2016,Internacional,1774597,14.71,5.49
12/2015,Internacional,1826048,8.69,6.28
11/2015,Internacional,1967711,15.12,6.76
10/2015,Internacional,2686231,9.13,9.23
09/2015,Internacional,2976828,4.89,10.23
08/2015,Internacional,3352763,3.28,11.52
07/2015,Internacional,3190774,5.99,10.97
06/2015,Internacional,2855575,3.19,9.82
05/2015,Internacional,2670680,6.57,9.18
04/2015,Internacional,2437182,5.93,8.38
03/2015,Internacional,2049329,9.86,7.04
02/2015,Internacional,1533699,5.47,5.27
01/2015,Internacional,1547069,8.22,5.32
12/2014,Internacional,1680049,7.27,6.16
11/2014,Internacional,1709285,5.60,6.27
10/2014,Internacional,2461470,9.16,9.03
09/2014,Internacional,2838046,8.10,10.41
08/2014,Internacional,3246128,10.57,11.90
07/2014,Internacional,3010583,6.78,11.04
06/2014,Internacional,2767361,8.35,10.15
05/2014,Internacional,2506058,8.56,9.19
04/2014,Internacional,2300657,14.77,8.44
03/2014,Internacional,1865363,6.93,6.84
02/2014,Internacional,1454116,9.95,5.33
01/2014,Internacional,1429618,11.77,5.24
12/2013,Internacional,1566137,12.27,6.26
11/2013,Internacional,1618606,8.99,6.47
10/2013,Internacional,2254883,6.61,9.01
09/2013,Internacional,2625492,6.65,10.49
08/2013,Internacional,2935729,6.16,11.73
07/2013,Internacional,2819354,5.20,11.26
06/2013,Internacional,2554012,9.29,10.20
05/2013,Internacional,2308353,8.96,9.22
04/2013,Internacional,2004514,-1.79,8.01
03/2013,Internacional,1744479,4.76,6.97
02/2013,Internacional,1322465,0.10,5.28
01/2013,Internacional,1279060,-3.78,5.11
12/2012,Internacional,1394970,-4.68,5.88
11/2012,Internacional,1485087,0.66,6.26
10/2012,Internacional,2115119,5.24,8.92
09/2012,Internacional,2461718,12.16,10.38
08/2012,Internacional,2765329,13.11,11.66
07/2012,Internacional,2679986,11.66,11.30
06/2012,Internacional,2337007,11.11,9.85
05/2012,Internacional,2118486,7.69,8.93
04/2012,Internacional,2041085,12.63,8.61
03/2012,Internacional,1665163,10.70,7.02
02/2012,Internacional,1321180,10.22,5.57
01/2012,Internacional,1329333,12.52,5.61
12/2011,Internacional,1463482,21.96,6.73
11/2011,Internacional,1475375,10.40,6.78
10/2011,Internacional,2009821,15.75,9.24
09/2011,Internacional,2194761,22.68,10.09
08/2011,Internacional,2444886,22.27,11.24
07/2011,Internacional,2400048,26.42,11.03
06/2011,Internacional,2103285,28.55,9.67
05/2011,Internacional,1967213,29.07,9.04
04/2011,Internacional,1812126,42.11,8.33
03/2011,Internacional,1504201,17.62,6.91
02/2011,Internacional,1198710,23.06,5.51
01/2011,Internacional,1181391,26.29,5.43
12/2010,Internacional,1199997,12.77,6.82
11/2010,Internacional,1336352,20.28,7.60
10/2010,Internacional,1736277,22.87,9.87
09/2010,Internacional,1789025,16.19,10.17
08/2010,Internacional,1999531,9.08,11.37
07/2010,Internacional,1898481,9.77,10.80
06/2010,Internacional,1636102,9.26,9.30
05/2010,Internacional,1524190,3.86,8.67
04/2010,Internacional,1275136,-11.40,7.25
03/2010,Internacional,1278914,10.83,7.27
02/2010,Internacional,974055,3.34,5.54
01/2010,Internacional,935441,2.75,5.32
12/2009,Internacional,1064090,4.75,6.61
11/2009,Internacional,1111018,4.49,6.90
10/2009,Internacional,1413060,-3.71,8.78
09/2009,Internacional,1539773,-7.50,9.56
08/2009,Internacional,1833076,-8.14,11.38
07/2009,Internacional,1729564,-7.35,10.74
06/2009,Internacional,1497440,-9.42,9.30
05/2009,Internacional,1467594,-9.70,9.11
04/2009,Internacional,1439286,-0.05,8.94
03/2009,Internacional,1153959,-19.92,7.17
02/2009,Internacional,942571,-15.49,5.85
01/2009,Internacional,910422,-13.30,5.65
12/2008,Internacional,1015805,-10.27,5.84
11/2008,Internacional,1063231,-14.05,6.11
10/2008,Internacional,1467500,-9.22,8.43
09/2008,Internacional,1664642,-5.31,9.57
08/2008,Internacional,1995443,-1.38,11.47
07/2008,Internacional,1866854,-0.59,10.73
06/2008,Internacional,1653182,1.75,9.50
05/2008,Internacional,1625247,8.05,9.34
04/2008,Internacional,1440021,-4.87,8.28
03/2008,Internacional,1441069,12.65,8.28
02/2008,Internacional,1115367,6.05,6.41
01/2008,Internacional,1050062,4.71,6.04
12/2007,Internacional,1132131,7.27,6.42
11/2007,Internacional,1237017,16.88,7.02
10/2007,Internacional,1616594,12.67,9.17
09/2007,Internacional,1757933,14.66,9.98
08/2007,Internacional,2023273,18.26,11.48
07/2007,Internacional,1877937,18.34,10.66
06/2007,Internacional,1624779,13.41,9.22
05/2007,Internacional,1504093,8.67,8.54
04/2007,Internacional,1513754,9.21,8.59
03/2007,Internacional,1279296,15.27,7.26
02/2007,Internacional,1051770,16.27,5.97
01/2007,Internacional,1002828,15.45,5.69
12/2006,Internacional,1055446,,
11/2006,Internacional,1058347,,
10/2006,Internacional,1434801,,
09/2006,Internacional,1533217,,
08/2006,Internacional,1710919,,
07/2006,Internacional,1586874,,
06/2006,Internacional,1432642,,
05/2006,Internacional,1384051,,
04/2006,Internacional,1386143,,
03/2006,Internacional,1109783,,
02/2006,Internacional,904599,,
01/2006,Internacional,868653,,
