localizacion,rango,year,poblacion,porcentaje
Sant Andreu,de 0 a 20,2013,25194,17.16
Sant Andreu,de 20-39,2013,40791,27.78
Sant Andreu,de 40-59,2013,41658,28.37
Sant Andreu,de 60-79,2013,29473,20.07
Sant Andreu,más de 80,2013,9730,6.63
Sant Martí Total,total,2013,232826,
Sant Martí,de 0 a 20,2013,40118,17.23
Sant Martí,de 20-39,2013,66165,28.42
Sant Martí,de 40-59,2013,67301,28.91
Sant Martí,de 60-79,2013,43933,18.87
Sant Martí,más de 80,2013,15309,6.58
Barcelona Total,total,2013,1611822,
Barcelona,de 0 a 20,2013,262818,16.31
Barcelona,de 20-39,2013,470036,29.16
Barcelona,de 40-59,2013,446789,27.72
Barcelona,de 60-79,2013,314580,19.52
Barcelona,más de 80,2013,117599,7.3
Ciutat Vella Total,total,2012,104442,
Ciutat Vella,de 0 a 20,2012,14718,14.09
Ciutat Vella,de 20-39,2012,42941,41.11
Ciutat Vella,de 40-59,2012,27050,25.9
Ciutat Vella,de 60-79,2012,13996,13.4
Ciutat Vella,más de 80,2012,5737,5.49
Eixample Total,total,2012,265828,
Eixample,de 0 a 20,2012,38219,14.38
Eixample,de 20-39,2012,80884,30.43
Eixample,de 40-59,2012,72894,27.42
Eixample,de 60-79,2012,51518,19.38
Eixample,más de 80,2012,22313,8.39
Sants-Montjuïc Total,total,2012,184072,
Sants-Montjuïc,de 0 a 20,2012,28692,15.59
Sants-Montjuïc,de 20-39,2012,58009,31.51
Sants-Montjuïc,de 40-59,2012,51608,28.04
Sants-Montjuïc,de 60-79,2012,33691,18.3
Sants-Montjuïc,más de 80,2012,12072,6.56
Les Corts Total,total,2012,82420,
Les Corts,de 0 a 20,2012,13212,16.03
Les Corts,de 20-39,2012,22427,27.21
Les Corts,de 40-59,2012,21864,26.53
Les Corts,de 60-79,2012,18925,22.96
Les Corts,más de 80,2012,5992,7.27
Sarrià-Sant Gervasi Total,total,2012,145391,
Sarrià-Sant Gervasi,de 0 a 20,2012,30006,20.64
Sarrià-Sant Gervasi,de 20-39,2012,36673,25.22
Sarrià-Sant Gervasi,de 40-59,2012,39500,27.17
Sarrià-Sant Gervasi,de 60-79,2012,28047,19.29
Sarrià-Sant Gervasi,más de 80,2012,11165,7.68
Gràcia Total,total,2012,121926,
Gràcia,de 0 a 20,2012,18066,14.82
Gràcia,de 20-39,2012,38727,31.76
Gràcia,de 40-59,2012,32247,26.45
Gràcia,de 60-79,2012,23606,19.36
Gràcia,más de 80,2012,9280,7.61
Horta-Guinardó Total,total,2012,169107,
Horta-Guinardó,de 0 a 20,2012,27217,16.09
Horta-Guinardó,de 20-39,2012,46414,27.45
Horta-Guinardó,de 40-59,2012,46248,27.35
Horta-Guinardó,de 60-79,2012,36719,21.71
Horta-Guinardó,más de 80,2012,12509,7.4
Nou Barris Total,total,2012,167419,
Nou Barris,de 0 a 20,2012,28333,16.92
Nou Barris,de 20-39,2012,46880,28
Nou Barris,de 40-59,2012,44378,26.51
Nou Barris,de 60-79,2012,35829,21.4
Nou Barris,más de 80,2012,11999,7.17
Sant Andreu Total,total,2012,147453,
Sant Andreu,de 0 a 20,2012,25140,17.05
Sant Andreu,de 20-39,2012,42295,28.68
Sant Andreu,de 40-59,2012,41311,28.02
Sant Andreu,de 60-79,2012,29296,19.87
Sant Andreu,más de 80,2012,9411,6.38
Sant Martí Total,total,2012,232885,
Sant Martí,de 0 a 20,2012,39979,17.17
Sant Martí,de 20-39,2012,68038,29.22
Sant Martí,de 40-59,2012,66218,28.43
Sant Martí,de 60-79,2012,43842,18.83
Sant Martí,más de 80,2012,14808,6.36
Barcelona Total,total,2012,1620943,
Barcelona,de 0 a 20,2012,263582,16.26
Barcelona,de 20-39,2012,483288,29.82
Barcelona,de 40-59,2012,443318,27.35
Barcelona,de 60-79,2012,315469,19.46
Barcelona,más de 80,2012,115286,7.11
Ciutat Vella Total,total,2011,103563,
Ciutat Vella,de 0 a 20,2011,14553,14.05
Ciutat Vella,de 20-39,2011,42499,41.04
Ciutat Vella,de 40-59,2011,26402,25.49
Ciutat Vella,de 60-79,2011,14261,13.77
Ciutat Vella,más de 80,2011,5848,5.65
Eixample Total,total,2011,264477,
Eixample,de 0 a 20,2011,37962,14.35
Eixample,de 20-39,2011,80699,30.51
Eixample,de 40-59,2011,72181,27.29
Eixample,de 60-79,2011,51564,19.5
Eixample,más de 80,2011,22071,8.35
Sants-Montjuïc Total,total,2011,182817,
Sants-Montjuïc,de 0 a 20,2011,28529,15.61
Sants-Montjuïc,de 20-39,2011,57859,31.65
Sants-Montjuïc,de 40-59,2011,50827,27.8
Sants-Montjuïc,de 60-79,2011,33876,18.53
Sants-Montjuïc,más de 80,2011,11726,6.41
Les Corts Total,total,2011,82436,
Les Corts,de 0 a 20,2011,13079,15.87
Les Corts,de 20-39,2011,22972,27.87
Les Corts,de 40-59,2011,21899,26.56
Les Corts,de 60-79,2011,18660,22.64
Les Corts,más de 80,2011,5826,7.07
Sarrià-Sant Gervasi Total,total,2011,144554,
Sarrià-Sant Gervasi,de 0 a 20,2011,29572,20.46
Sarrià-Sant Gervasi,de 20-39,2011,37278,25.79
Sarrià-Sant Gervasi,de 40-59,2011,38936,26.94
Sarrià-Sant Gervasi,de 60-79,2011,27852,19.27
Sarrià-Sant Gervasi,más de 80,2011,10916,7.55
Gràcia Total,total,2011,121540,
Gràcia,de 0 a 20,2011,17914,14.74
